"","data-listing-id","data-title","data-display-title","data-url","data-installment","data-image-src","data-compare-image","data-make","data-model","data-year","data-mileage","data-transmission","data-ad-type","data-variant","data-seller-id","data-profile-id","data-listing-trusted","data-dealer-isverified","data-view-store","data-country-code","data-vehicle-type","NA"
"1","10792907","2022 Mercedes-Benz EQE 350+ 0.0 AMG Line Premium Sedan","2022 Mercedes-Benz EQE 350+ AMG Line Premium Sedan","https://www.carlist.my/new-cars/2022-mercedes-benz-eqe-350-0-0-amg-line-premium-sedan/10792907","RM 6,223/month","https://img1.icarcdn.com/70929701/main-m_new-car-carlist-mercedes-benz-eq-eqe-350-amg-line-premium-sedan-malaysia_000070929701_73d23442_1eac_406f_ad1c_c53216b58154.jpg.webp?smia=xTM","https://img1.icarcdn.com/70929701/thumb-l_new-car-carlist-mercedes-benz-eq-eqe-350-amg-line-premium-sedan-malaysia_000070929701_73d23442_1eac_406f_ad1c_c53216b58154.jpg.webp?smia=xTM","Mercedes-Benz","EQE 350+","2022","0","Automatic","New","AMG Line Premium","0000b309-1c17-4a55-b994-aca49f0d8218","ed0ec56c-4dfd-4f98-aad4-bff8597f3e9b","false","ʉʏʈʘ","false","my","car","RM 480,000"
"2","10440475","2022 Mitsubishi Triton 2.4 VGT Athlete Pickup Truck","2022 Mitsubishi Triton 2.4 VGT Athlete Pickup Truck","https://www.carlist.my/new-cars/2022-mitsubishi-triton-2-4-vgt-athlete-pickup-truck/10440475","RM 1,880/month","https://img1.icarcdn.com/57404401/main-m_new-car-carlist-mitsubishi-triton-vgt-athlete-pickup-truck-malaysia_000057404401_638aa661_05c9_450c_86af_09915e0e398f.jpeg.webp?smia=xTM","https://img1.icarcdn.com/57404401/thumb-l_new-car-carlist-mitsubishi-triton-vgt-athlete-pickup-truck-malaysia_000057404401_638aa661_05c9_450c_86af_09915e0e398f.jpeg.webp?smia=xTM","Mitsubishi","Triton","2022","0","Automatic","New","VGT Athlete","e6d1a5c2-2956-4b14-bde1-961dd45f78a8","54fa9aa6-8d13-4440-b6e7-e364543d91cc","false","ʉʏʈʘ","false","my","car","RM 145,000"
"3","10789683","2022 Honda CR-V 1.5 TC-P VTEC SUV NEW","2022 Honda CR-V 1.5 TC-P VTEC SUV","https://www.carlist.my/new-cars/2022-honda-cr-v-1-5-tc-p-vtec-suv-new/10789683","RM 1,710/month","https://img1.icarcdn.com/38698701/main-m_new-car-carlist-honda-cr-v-tc-p-vtec-suv-malaysia_000038698701_82823db1_37ba_460d_ae00_98ce801c7d2f.jpeg.webp?smia=xTM","https://img1.icarcdn.com/38698701/thumb-l_new-car-carlist-honda-cr-v-tc-p-vtec-suv-malaysia_000038698701_82823db1_37ba_460d_ae00_98ce801c7d2f.jpeg.webp?smia=xTM","Honda","CR-V","2022","0","Automatic","New","TC-P VTEC","bef64918-49eb-e311-94af-0261ba99cd9c","c0187940-68eb-e311-94af-0261ba99cd9c","false","ʉʏʈʘ","false","my","car","RM 131,888"
"4","10644755","2022 Honda CR-V 2.0 i-VTEC SUV **5xxx Rebates** - Call Now to Book this Car","2022 Honda CR-V 2.0 i-VTEC SUV","https://www.carlist.my/new-cars/2022-honda-cr-v-2-0-i-vtec-suv-5xxx-rebates-call-now-to-book-this-car/10644755","RM 1,840/month","https://img1.icarcdn.com/55744601/main-m_new-car-carlist-honda-cr-v-i-vtec-suv-malaysia_000055744601_92e633e6_d85e_413c_ba24_ed4dba0d1f6a.jpeg.webp?smia=xTM","https://img1.icarcdn.com/55744601/thumb-l_new-car-carlist-honda-cr-v-i-vtec-suv-malaysia_000055744601_92e633e6_d85e_413c_ba24_ed4dba0d1f6a.jpeg.webp?smia=xTM","Honda","CR-V","2022","0","Automatic","New","i-VTEC","0239a87f-185f-40d7-96c1-577a23382252","dea94362-6914-4d58-b318-193c0b84fea6","false","ʉʏʈʘ","false","my","car","RM 141,900"
"5","7838028","ALL NEW MAZDA CX5 BIG DEALS ( Low D/P )","2021 Mazda CX-5 2.0 SKYACTIV-G High SUV","https://www.carlist.my/new-cars/all-new-mazda-cx5-big-deals-low-d-p/7838028","RM 2,056/month","https://img1.icarcdn.com/8208387/main-m_new-car-carlist-mazda-cx-5-skyactiv-g-suv-malaysia_000008208387_70d146cb_9ac5_4f2d_9281_af0f931e9a98.jpeg?smia=xTM","https://img1.icarcdn.com/8208387/thumb-l_new-car-carlist-mazda-cx-5-skyactiv-g-suv-malaysia_000008208387_70d146cb_9ac5_4f2d_9281_af0f931e9a98.jpeg?smia=xTM","Mazda","CX-5","2021","0","Automatic","New","SKYACTIV-G High","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","RM 158,600"
"6","10425968","ALL NEW PROTON X50 Executive ( Low d/p )","2022 Proton X50 1.5 Executive SUV","https://www.carlist.my/new-cars/all-new-proton-x50-executive-low-d-p/10425968","RM 1,210/month","https://img1.icarcdn.com/86952401/main-m_new-car-carlist-proton-x50-executive-suv-malaysia_000086952401_2d2c5f12_b695_4317_8b69_dd864cb5dc08.jpeg.webp?smia=xTM","https://img1.icarcdn.com/86952401/thumb-l_new-car-carlist-proton-x50-executive-suv-malaysia_000086952401_2d2c5f12_b695_4317_8b69_dd864cb5dc08.jpeg.webp?smia=xTM","Proton","X50","2022","0","Automatic","New","Executive","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","RM 93,300"
"7","10419358","MITSUBISHI TRITON QUEST BEST DEALS","2022 Mitsubishi Triton 2.5 Quest Pickup Truck","https://www.carlist.my/new-cars/mitsubishi-triton-quest-best-deals/10419358","RM 1,054/month","https://img1.icarcdn.com/85391401/main-m_new-car-carlist-mitsubishi-triton-quest-pickup-truck-malaysia_000085391401_06c6b5db_22fb_4035_95fb_93930bfbbc3a.jpeg.webp?smia=xTM","https://img1.icarcdn.com/85391401/thumb-l_new-car-carlist-mitsubishi-triton-quest-pickup-truck-malaysia_000085391401_06c6b5db_22fb_4035_95fb_93930bfbbc3a.jpeg.webp?smia=xTM","Mitsubishi","Triton","2022","0","Manual","New","Quest","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","RM 81,300"
"8","7788864","ALL NEW MITSUBISHI TRITON BEST DEALS ( Low D/P )","2021 Mitsubishi Triton 2.4 VGT Premium Updated Spec Pickup Truck","https://www.carlist.my/new-cars/all-new-mitsubishi-triton-best-deals-low-d-p/7788864","RM 1,634/month","https://img1.icarcdn.com/4688877/main-m_new-car-carlist-mitsubishi-triton-vgt-premium-pickup-truck-malaysia_000004688877_376979b1_156e_4cd2_99c4_3075331ecdc6.jpeg?smia=xTM","https://img1.icarcdn.com/4688877/thumb-l_new-car-carlist-mitsubishi-triton-vgt-premium-pickup-truck-malaysia_000004688877_376979b1_156e_4cd2_99c4_3075331ecdc6.jpeg?smia=xTM","Mitsubishi","Triton","2021","0","Automatic","New","VGT Premium Updated Spec","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","RM 126,000"
"9","7838034","ALL NEW MAZDA CX5 GOOD DEALS ( Low D/P )","2021 Mazda CX-5 2.0 SKYACTIV-G High SUV","https://www.carlist.my/new-cars/all-new-mazda-cx5-good-deals-low-d-p/7838034","RM 2,056/month","https://img1.icarcdn.com/4308387/main-m_new-car-carlist-mazda-cx-5-skyactiv-g-suv-malaysia_000004308387_abd397f1_11b0_4536_bf4a_ee266fdcbbda.jpeg?smia=xTM","https://img1.icarcdn.com/4308387/thumb-l_new-car-carlist-mazda-cx-5-skyactiv-g-suv-malaysia_000004308387_abd397f1_11b0_4536_bf4a_ee266fdcbbda.jpeg?smia=xTM","Mazda","CX-5","2021","0","Automatic","New","SKYACTIV-G High","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","RM 158,600"
"10","8316857","ALL NEW MAZDA 2 BEST DEALS ( Low D/P )","2021 Mazda 2 1.5 SKYACTIV-G GVC Plus Sedan","https://www.carlist.my/new-cars/all-new-mazda-2-best-deals-low-d-p/8316857","RM 1,343/month","https://img1.icarcdn.com/7586138/main-m_new-car-carlist-in-process-malaysia_000007586138_8b754940_2886_4fc0_bcb9_7420b7f82af1.jpeg.webp?smia=xTM","https://img1.icarcdn.com/7586138/thumb-l_new-car-carlist-in-process-malaysia_000007586138_8b754940_2886_4fc0_bcb9_7420b7f82af1.jpeg.webp?smia=xTM","Mazda","2","2021","0","Automatic","New","SKYACTIV-G GVC Plus","27984e03-3db2-4c5d-8a3f-406e3a37c657","6a632c3c-b4b4-4de4-8323-f60da9deb63d","false","ʉʏʈʘ","false","my","car","RM 103,600"
