,data_listing_id,data_title,data_display_title,data_url,data_installment,data_image_src,data_compare_image,data_make,data_model,data_year,data_mileage,data_transmission,data_ad_type,data_variant,data_seller_id,data_profile_id,data_listing_trusted,data_dealer_isverified,data_view_store,data_country_code,data_vehicle_type,listing_price
0,11207652,2023 Honda Civic 1.5 E VTEC Sedan - Call Now to Book this Car,2023 Honda Civic 1.5 E VTEC Sedan,https://www.carlist.my/new-cars/2023-honda-civic-1-5-e-vtec-sedan-call-now-to-book-this-car/11207652,"RM 1,694/month",https://img1.icarcdn.com/25670211/main-m_new-car-carlist-honda-civic-e-vtec-sedan-malaysia_000025670211_71b5ccda_863e_47aa_b571_c18bf02fff5e.jpeg.webp?smia=xTM,https://img1.icarcdn.com/25670211/thumb-l_new-car-carlist-honda-civic-e-vtec-sedan-malaysia_000025670211_71b5ccda_863e_47aa_b571_c18bf02fff5e.jpeg.webp?smia=xTM,Honda,Civic,2023,0,Automatic,New,E VTEC,0239a87f-185f-40d7-96c1-577a23382252,dea94362-6914-4d58-b318-193c0b84fea6,false,ʉʏʈʘ,false,my,car,"RM 130,700"
1,11219593,2022 TESLA Model 3  STANDARD RANGE,2022 TESLA Model 3 Standard Range Sedan,https://www.carlist.my/new-cars/2022-tesla-model-3-standard-range/11219593,"RM 3,876/month",https://img1.icarcdn.com/39591211/main-m_new-car-carlist-tesla-model-3-standard-range-sedan-malaysia_000039591211_55a43b96_1ea0_47cf_ab27_3bc2d21ba91e.jpeg.webp?smia=xTM,https://img1.icarcdn.com/39591211/thumb-l_new-car-carlist-tesla-model-3-standard-range-sedan-malaysia_000039591211_55a43b96_1ea0_47cf_ab27_3bc2d21ba91e.jpeg.webp?smia=xTM,TESLA,Model 3,2022,0,Automatic,New,Standard Range,00a3e324-7194-42a5-8702-fdc9e816fd70,8fd728b8-6bb9-41c1-ac98-2aa31dbc83cc,true,ʉʏʈʘ,true,my,car,"RM 299,000"
2,11185947,"HONDA PENANG (BM) - 2023 Honda City 1.5 V i-VTEC (A) EXTRA CASH REBATES + CNY BONUS + MORE, CALL NOW FOR MORE INFORMATION",2023 Honda City 1.5 V i-VTEC Sedan,https://www.carlist.my/new-cars/honda-penang-bm-2023-honda-city-1-5-v-i-vtec-a-extra-cash-rebates-cny-bonus-more-call-now-for-more-information/11185947,"RM 1,157/month",https://img1.icarcdn.com/74958111/main-m_new-car-carlist-honda-city-v-i-vtec-sedan-malaysia_50cae5814e603c49116e828aca1fe99c_Mi7svCEs2TCTmnoRnwHM96_000074958111_2bc60950_88db_49de_a4fd_e51fa77598a9.jpeg.webp?smia=xTM,https://img1.icarcdn.com/74958111/thumb-l_new-car-carlist-honda-city-v-i-vtec-sedan-malaysia_50cae5814e603c49116e828aca1fe99c_Mi7svCEs2TCTmnoRnwHM96_000074958111_2bc60950_88db_49de_a4fd_e51fa77598a9.jpeg.webp?smia=xTM,Honda,City,2023,0,Automatic,New,V i-VTEC,c99ef1ac-a828-e611-94c3-06e4185eac05,cd9ef1ac-a828-e611-94c3-06e4185eac05,true,ʉʏʈʘ,true,my,car,"RM 89,260"
3,9789463,2022 Perodua Myvi 1.5 AV Hatchback,2022 Perodua Myvi 1.5 AV Hatchback,https://www.carlist.my/new-cars/2022-perodua-myvi-1-5-av-hatchback/9789463,RM 777/month,https://img1.icarcdn.com/3649879/main-m_new-car-carlist-perodua-myvi-av-hatchback-malaysia_000003649879_0154664e_3b4d_400a_8d6e_b422176ecca4.jpg.webp?smia=xTM,https://img1.icarcdn.com/3649879/thumb-l_new-car-carlist-perodua-myvi-av-hatchback-malaysia_000003649879_0154664e_3b4d_400a_8d6e_b422176ecca4.jpg.webp?smia=xTM,Perodua,Myvi,2022,0,Automatic,New,AV,b4695981-437c-e411-94b6-06e4185eac05,b7695981-437c-e411-94b6-06e4185eac05,false,ʉʏʈʘ,false,my,car,"RM 59,900"
4,8637396,2022 Mitsubishi Triton 2.4 VGT Pickup Truck (A),2022 Mitsubishi Triton 2.4 VGT Pickup Truck,https://www.carlist.my/new-cars/2022-mitsubishi-triton-2-4-vgt-pickup-truck-a/8637396,"RM 1,426/month",https://img1.icarcdn.com/6937368/main-m_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000006937368_42928b10_1a90_4643_b6f1_5b80ca60bf61.jpg.webp?smia=xTM,https://img1.icarcdn.com/6937368/thumb-l_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000006937368_42928b10_1a90_4643_b6f1_5b80ca60bf61.jpg.webp?smia=xTM,Mitsubishi,Triton,2022,0,Automatic,New,VGT,33292c57-7c53-417e-96f8-c0bc34192ae3,ea48f048-e1d5-490f-b582-8cc0a77008fa,false,ʉʏʈʘ,false,my,car,"RM 109,990"
5,8795107,2022 Proton Persona 1.6 Premium Sedan,2022 Proton Persona 1.6 Premium Sedan,https://www.carlist.my/new-cars/2022-proton-persona-1-6-premium-sedan/8795107,RM 756/month,https://img1.icarcdn.com/7015978/main-m_new-car-carlist-proton-persona-premium-sedan-malaysia_000007015978_f7a46829_6cdd_4466_9c83_d3e5c63098c3.jpg.webp?smia=xTM,https://img1.icarcdn.com/7015978/thumb-l_new-car-carlist-proton-persona-premium-sedan-malaysia_000007015978_f7a46829_6cdd_4466_9c83_d3e5c63098c3.jpg.webp?smia=xTM,Proton,Persona,2022,0,Automatic,New,Premium,b4695981-437c-e411-94b6-06e4185eac05,b7695981-437c-e411-94b6-06e4185eac05,false,ʉʏʈʘ,false,my,car,"RM 58,300"
6,8873806,HONDA CITY RM9000 Convert to D/Payment Year End OFFER Jimat COST,2022 Honda City 1.5 E i-VTEC Sedan,https://www.carlist.my/new-cars/honda-city-rm9000-convert-to-d-payment-year-end-offer-jimat-cost/8873806,RM 892/month,https://img1.icarcdn.com/6083788/main-m_new-car-carlist-honda-city-e-i-vtec-sedan-malaysia_000006083788_c535d53e_ba59_4ede_9d3f_fd8d9e3ad563.jpg.webp?smia=xTM,https://img1.icarcdn.com/6083788/thumb-l_new-car-carlist-honda-city-e-i-vtec-sedan-malaysia_000006083788_c535d53e_ba59_4ede_9d3f_fd8d9e3ad563.jpg.webp?smia=xTM,Honda,City,2022,0,Automatic,New,E i-VTEC,9e5d1bfa-7079-e711-94c7-06e4185eac05,a15d1bfa-7079-e711-94c7-06e4185eac05,false,ʉʏʈʘ,false,my,car,"RM 68,800"
7,10778299,2023 Honda City 1.5 E i-VTEC Hatchback **FAST STOCK + 2xxx CASH REBATES** - Book NOW,2022 Honda City 1.5 E i-VTEC Hatchback,https://www.carlist.my/new-cars/2023-honda-city-1-5-e-i-vtec-hatchback-fast-stock-2xxx-cash-rebates-book-now/10778299,"RM 1,097/month",https://img1.icarcdn.com/99287701/main-m_new-car-carlist-honda-city-e-i-vtec-hatchback-malaysia_000099287701_174e7e10_f3a2_4e9f_89ca_c6958b5fbc3f.jpg.webp?smia=xTM,https://img1.icarcdn.com/99287701/thumb-l_new-car-carlist-honda-city-e-i-vtec-hatchback-malaysia_000099287701_174e7e10_f3a2_4e9f_89ca_c6958b5fbc3f.jpg.webp?smia=xTM,Honda,City,2022,0,Automatic,New,E i-VTEC,80990c3b-14cd-4164-86d0-2b2855877aa4,a77f5452-58ef-4197-ad16-09e5d6bb234c,false,ʉʏʈʘ,false,my,car,"RM 84,600"
8,9307651,2022 Proton Saga 1.3 Premium S Sedan **YEAR END SALE**LAST CALL**READY STOCK**,2022 Proton Saga 1.3 Premium S Sedan,https://www.carlist.my/new-cars/2022-proton-saga-1-3-premium-s-sedan-year-end-sale-last-call-ready-stock/9307651,RM 446/month,https://img1.icarcdn.com/1567039/main-m_new-car-carlist-proton-saga-premium-s-sedan-malaysia_000001567039_7b20d84c_9160_4cde_9869_c6b34dc0418b.jpg.webp?smia=xTM,https://img1.icarcdn.com/1567039/thumb-l_new-car-carlist-proton-saga-premium-s-sedan-malaysia_000001567039_7b20d84c_9160_4cde_9869_c6b34dc0418b.jpg.webp?smia=xTM,Proton,Saga,2022,0,Automatic,New,Premium S,677b25a0-5285-e611-94b8-0261ba99cd9c,6a7b25a0-5285-e611-94b8-0261ba99cd9c,false,ʉʏʈʘ,false,my,car,"RM 34,400"
9,9349687,"2023 Proton Saga 1.3 NEW LAUNCH NEW FACELIFT MC2 , MAXIMUM LOAN",2022 Proton Saga 1.3 Premium S Sedan,https://www.carlist.my/new-cars/2023-proton-saga-1-3-new-launch-new-facelift-mc2-maximum-loan/9349687,RM 376/month,https://img1.icarcdn.com/7869439/main-m_new-car-carlist-proton-saga-premium-s-sedan-malaysia_000007869439_8994e0cd_4049_414d_8820_94a32e9cd59b.jpeg.webp?smia=xTM,https://img1.icarcdn.com/7869439/thumb-l_new-car-carlist-proton-saga-premium-s-sedan-malaysia_000007869439_8994e0cd_4049_414d_8820_94a32e9cd59b.jpeg.webp?smia=xTM,Proton,Saga,2022,0,Automatic,New,Premium S,673fd48b-7a09-40ed-9ad7-2bc6fe7fc77b,fb67edae-1514-4fa9-8546-bcd982957b33,true,ʉʏʈʘ,false,my,car,"RM 29,000"
